stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7970131,198,"Winston-Salem Transportation Center (L-1)","",36.099297,-80.245105,,,0,,,0,,
7970132,103,"4th & Chestnut","",36.098663,-80.242257,,,0,,,0,,
7970133,237,"Innovation Quarter (4th & Research)","",36.099166,-80.237976,,,0,,,0,,
7970134,238,"4th & MLK","",36.099433,-80.22901,,,0,,,0,,
7970135,261,"Kernersville Town Hall Park & Ride","",36.11843,-80.072185,,,0,,,0,,
7970137,405,"VA Health Care Center","",36.093475,-80.048592,,,0,,,0,,
7970138,406,"Kernersville Medical Center Park & Ride Lot","",36.092275,-80.045674,,,0,,,0,,
7970139,286,"FedEx Ground","",36.109857,-80.034258,,,0,,,0,,
7970140,292,"Old Greensboro Rd","",36.109989,-80.026866,,,0,,,0,,
7970141,301,"Amazon","",36.106705,-80.022009,,,0,,,0,,
7970142,100B-4,"Coble Transportation Center (B-4)","",36.093932,-79.959161,,,0,,,0,,
7974462,131,"WS Journal (5th Street)","",36.098461,-80.214833,,,0,,,0,,
7974463,166,"5th & MLK Jr Dr.","",36.100499,-80.228007,,,0,,,0,,
7974464,240,"5th & Research","",36.100588,-80.237554,,,0,,,0,,
7974465,236,"Innovation Quarter (5th & Patterson)","",36.100413,-80.241067,,,0,,,0,,
7974466,105,"5th & Chestnut (Drop-Off Only)","",36.100281,-80.242285,,,0,,,0,,
7975295,285,"FedEx Ground","",36.10999,-80.034278,,,0,,,0,,
7975296,407,"Kernersville Medical Center Park & Ride Lot","",36.092342,-80.045791,,,0,,,0,,
7975742,291,"Old Greensboro Rd","",36.110137,-80.027393,,,0,,,0,,
7980843,298,"Excelsior St at Union Station","",36.093903,-80.228428,,,0,,,0,,
7980844,100B-1,"Coble Transportation Center (B-1)","",36.093423,-79.959258,,,0,,,0,,
7985654,100A-4,"Coble Transportation Center (A-4)","",36.093943,-79.95922,,,0,,,0,,
7985844,142,"Greensboro Depot (Slip 16)","",36.069223,-79.787244,,,0,,,0,,
7986279,4166,"W Washington & Eugene","",36.070438,-79.793521,,,0,,,0,,
7986280,200,"Freeman Mill & Florida","",36.052497,-79.806598,,,0,,,0,,
7986281,139,"Freeman Mill & Lovett","",36.043763,-79.815194,,,0,,,0,,
7986282,153,"Four Seasons","",36.040453,-79.841768,,,0,,,0,,
7986283,100A-2,"Coble Transportation Center (A-2)","",36.09376273530216,-79.95926576686477,,,0,,,0,,
7986761,242,"Bennett College (E Washington St)","",36.069228,-79.77906,,,0,,,0,,
7986762,243,"E Gate City Blvd & Florida","",36.056768,-79.747599,,,0,,,0,,
7986763,391,"Alamance Regional Medical Center Park & Ride","",36.062715,-79.498603,,,0,,,0,,
7986764,141,"Graham Park & Ride","",36.056421,-79.398799,,,0,,,0,,
7986765,300,"Alamance Community College","",36.065898,-79.357523,,,0,,,0,,
7986766,1958,"Mebane Cone Health Park & Ride","",36.074624,-79.269918,,,0,,,0,,
7986767,3444,"MLK Jr Blvd & Airport","",35.932661,-79.055761,,,0,,,0,,
7986768,3448,"MLK Jr Blvd & Umstead","",35.923774,-79.054799,,,0,,,0,,
7986769,3421,"N Columbia St at W Franklin St","",35.913306,-79.056009,,,0,,,0,,
7986770,3179,"S Columbia St at Fraternity Ct","",35.911692,-79.055032,,,0,,,0,,
7986771,3226,"Pittsboro St at SECU","",35.906909,-79.054866,,,0,,,0,,
7986772,3238,"UNC Hospitals (Manning Dr, Dogwood Deck)","",35.903168,-79.051323,,,0,,,0,,
7986773,3220,"Mason Farm Road at Marsico Hall","",35.902243,-79.05478,,,0,,,0,,
7986774,195,"Ambulatory Care Center","",35.900438,-79.055861,,,0,,,0,,
7986777,4773,"Freeman Mill & Florida","",36.052074,-79.806702,,,0,,,0,,
7986778,132,"W Washington & Blandwood","",36.070332,-79.795615,,,0,,,0,,
7986779,130,"W Washington & Greene","",36.070234,-79.791948,,,0,,,0,,
7986780,138,"Freeman Mill & Coliseum","",36.042806949436766,-79.81609083068848,,,0,,,0,,
7988164,100B-3,"Coble Transportation Center (B-3)","",36.093804,-79.959153,,,0,,,0,,
7988165,186,"Hwy 68 & Ramsay","",36.028589,-79.970049,,,0,,,0,,
7988166,174,"Hwy 68 & Lassiter (Oak Hollow Village)","",35.995934,-79.995953,,,0,,,0,,
