trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
100-1,06:00:00,06:00:00,1667916,0,"",0,,0,1
100-1,06:01:00,06:01:00,7263712,1,"",0,,595.8761928867345,0
100-1,06:02:00,06:02:00,7263701,2,"",0,,875.8941476484026,0
100-1,06:03:00,06:03:00,7263713,3,"",0,,1184.8784328797894,0
100-1,06:04:00,06:04:00,7263714,4,"",0,,1634.8975759484813,0
100-1,06:05:00,06:05:00,7263715,5,"",0,,2133.776934923711,1
100-1,06:06:00,06:06:00,7095512,6,"",0,,2512.8349572620855,0
100-1,06:07:00,06:07:00,1669308,7,"",0,,2816.9451139995444,0
100-1,06:08:00,06:08:00,1669309,8,"",0,,3382.574594472372,1
100-1,06:09:00,06:09:00,1669311,9,"",0,,4048.704045238662,0
100-1,06:10:00,06:10:00,1669312,10,"",0,,4432.985214911584,0
100-1,06:12:00,06:12:00,1669313,11,"",0,,4857.754682211959,0
100-1,06:13:00,06:13:00,1668955,12,"",0,,5141.729004648606,0
100-1,06:14:00,06:14:00,1669316,13,"",0,,5628.01179854639,0
100-1,06:14:00,06:14:00,1669317,14,"",0,,6320.016626922576,0
100-1,06:17:00,06:17:00,1669318,15,"",0,,6802.013936356753,1
100-1,06:17:00,06:17:00,1669319,16,"",0,,7014.0899451518935,0
100-1,06:18:00,06:18:00,1669320,17,"",0,,7298.608727251387,0
100-1,06:19:00,06:19:00,1669321,18,"",0,,7632.572047223816,0
100-1,06:19:00,06:19:00,1669322,19,"",0,,8055.891623111552,0
100-1,06:21:00,06:21:00,1669323,20,"",0,,8628.276040994859,0
100-1,06:22:00,06:22:00,1669324,21,"",0,,8750.678172684391,0
100-1,06:23:00,06:23:00,1669325,22,"",0,,9028.996300925917,1
100-1,06:24:00,06:24:00,1669326,23,"",0,,9247.854782282297,0
100-1,06:26:00,06:26:00,1669328,24,"",0,,10074.382043994596,0
100-1,06:28:00,06:28:00,7263716,25,"",0,,10683.461950205836,0
100-1,06:31:00,06:31:00,7263717,26,"",0,,11437.439240815564,1
100-1,06:32:00,06:32:00,7263718,27,"",0,,11878.905709018236,0
100-1,06:32:00,06:32:00,7263719,28,"",0,,12280.627203956074,0
100-1,06:34:00,06:34:00,1669338,29,"",0,,12952.529346722944,1
100-1,06:35:00,06:35:00,1669339,30,"",0,,13564.859963116416,0
100-1,06:35:00,06:35:00,7095513,31,"",0,,13841.858473202476,0
100-1,06:38:00,06:38:00,7263720,32,"",0,,14216.53820616881,1
100-1,06:39:00,06:39:00,7263721,33,"",0,,14685.818948070571,0
100-1,06:40:00,06:40:00,7263722,34,"",0,,15131.599651969176,0
100-1,06:41:00,06:41:00,7263723,35,"",0,,15413.446179353246,0
100-1,06:41:00,06:41:00,1669348,36,"",0,,15783.463351347935,0
