stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1667916,,"Commerce Shopping Center","",34.017426,-118.149615,,,0,,,0,,
1667918,,"Goodrich Blvd & Olympic Blvd (SB)","",34.01547,-118.156109,,,0,,,0,,
1667919,,"Union Pacific Ave & Goodrich Blvd","",34.013792,-118.157537,,,0,,,0,,
1667921,,"Eastern Ave & Everington St","",34.005505,-118.159102,,,0,,,0,,
1667922,,"Harbor St & Eastern Ave (EB)","",34.004081,-118.158613,,,0,,,0,,
1667923,,"Harbor St & Entrada St (EB)","",34.00391,-118.157047,,,0,,,0,,
1667937,,"Harbor St & Commerce Way (WB)","",34.003202,-118.154443,,,0,,,0,,
1667938,,"Harbor St & Entrada St (WB)","",34.003935,-118.15669,,,0,,,0,,
1667941,,"Harbor St & Strong Ave","",34.004877,-118.161649,,,0,,,0,,
1667944,,"Washington Blvd & Atlantic Blvd","",34.003221,-118.16801,,,0,,,0,,
1667945,,"Bedessen Ave & Washington Blvd","",34.005844,-118.175044,,,0,,,0,,
1667946,,"Bedessen Ave & Leonis St","",34.006932,-118.174512,,,0,,,0,,
1667947,,"Leonis St & Ayers Ave","",34.007052,-118.17531,,,0,,,0,,
1667961,,"Atlantic Blvd & Jardine St","",34.004991,-118.164649,,,0,,,0,,
1667965,,"Eastern Ave & Union Pacific Ave","",34.016491,-118.174767,,,0,,,0,,
1667968,,"Triggs St & Eastern Ave (EB)","",34.014607,-118.173705,,,0,,,0,,
1667970,,"Dunham St & McBride Ave","",34.012878,-118.17096,,,0,,,0,,
1667971,,"Bristow Park","",34.012876,-118.169937,,,0,,,0,,
1667972,,"McDonnell Ave & Triggs St","",34.014679,-118.169724,,,0,,,0,,
1667977,,"Goodrich Blvd & Whittier Blvd","",34.019537,-118.15371,,,0,,,0,,
1667985,,"Triggs St & Denny's","",34.011181,-118.162132,,,0,,,0,,
1668502,,"Teen Center","",34.008582,-118.162808,,,0,,,0,,
1668504,,"Astor Ave & Quigley St","",34.00809,-118.166842,,,0,,,0,,
1668506,,"Bandini Park","",34.007463,-118.170523,,,0,,,0,,
1668507,,"Hepworth Ave & Leonis St","",34.006695,-118.170897,,,0,,,0,,
1668508,,"Leonis St & Couts Ave","",34.005688,-118.169152,,,0,,,0,,
1668513,,"Harbor St & Strong Ave","",34.004978,-118.162068,,,0,,,0,,
1668532,,"Commerce City Hall","",34.001095,-118.155041,,,0,,,0,,
1668533,,"Commerce Way & Jillson St","",34.000111,-118.155548,,,0,,,0,,
1668535,,"Jillson St & Leo Ave","",33.998475,-118.151496,,,0,,,0,,
1668536,,"Jillson St & Fidelia Ave","",33.997927,-118.149876,,,0,,,0,,
1668537,,"Fidelia Ave & Bartmus St","",33.999244,-118.149062,,,0,,,0,,
1668539,,"Bartmus St & Leo Ave","",34.000714,-118.150231,,,0,,,0,,
1668540,,"Bartmus St & Elkgrove Ave","",34.001737,-118.15119,,,0,,,0,,
1668542,,"Bartmus St & Senta Ave","",34.003197,-118.152584,,,0,,,0,,
1668948,,"Gerhart Ave & Olympic Blvd","",34.01431,-118.147501,,,0,,,0,,
1668951,,"Telegraph Rd & Washington Blvd","",33.99494,-118.143405,,,0,,,0,,
1668955,,"Garfield Ave & Bandini Blvd","",33.986373,-118.138969,,,0,,,0,,
1668958,,"Greenwood Ave & Neenah St","",33.976693,-118.130721,,,0,,,0,,
1668959,,"Greenwood Ave & Watcher St","",33.975233,-118.131196,,,0,,,0,,
1668960,,"Greenwood Ave & Gage Ave","",33.973398,-118.130807,,,0,,,0,,
1668961,,"Gage Ave & Chalet Dr","",33.972779,-118.13745,,,0,,,0,,
1668962,,"Gage Ave & Emil Ave","",33.973169,-118.141061,,,0,,,0,,
1668963,,"Gage Ave & Garfield Ave","",33.97428,-118.146493,,,0,,,0,,
1668968,,"Eastern Ave & Slauson Ave","",33.986176,-118.161863,,,0,,,0,,
1668974,,"Atlantic Blvd & Washington Blvd","",34.003212,-118.167266,,,0,,,0,,
1668975,,"Harbor St & Atlantic Blvd","",34.005548,-118.163469,,,0,,,0,,
1669308,,"Garfield Ave & Flotilla St (SB)","",34.005471,-118.131454,,,0,,,0,,
1669309,,"Garfield Ave & Washington Blvd (SB)","",34.000653,-118.13283,,,0,,,0,,
1669311,,"Garfield Ave & Yates Ave","",33.994995,-118.134787,,,0,,,0,,
1669312,,"Garfield Ave & Elm St","",33.991538,-118.134769,,,0,,,0,,
1669313,,"Garfield Ave & Telegraph Rd","",33.988258,-118.136901,,,0,,,0,,
1669316,,"Garfield Ave & Slauson Ave","",33.982527,-118.141458,,,0,,,0,,
1669317,,"Garfield Ave & Randolph St","",33.977032,-118.14497,,,0,,,0,,
1669318,,"Gage Ave & Garfield Ave","",33.973664,-118.146213,,,0,,,0,,
1669319,,"Gage Ave & Perry Rd","",33.973406,-118.143944,,,0,,,0,,
1669320,,"Gage Ave & Emil Ave","",33.97315807679853,-118.14088627116394,,,0,,,0,,
1669321,,"Gage Ave & Chalet Dr","",33.972691,-118.137321,,,0,,,0,,
1669322,,"Gage Ave & Agra St","",33.972415,-118.132797,,,0,,,0,,
1669323,,"Kuhl Dr & Zindell Ave","",33.973116,-118.127642,,,0,,,0,,
1669324,,"Zindell Ave & Gage Ave","",33.973956,-118.128171,,,0,,,0,,
1669325,,"Greenwood Ave & Gage Ave","",33.973432,-118.130738,,,0,,,0,,
1669326,,"Greenwood Ave & Watcher St","",33.975336,-118.131129,,,0,,,0,,
1669328,,"Slauson Ave & Triangle Dr","",33.979849,-118.135859,,,0,,,0,,
1669334,,"Jillson St & Commerce Way","",33.999925,-118.155836,,,0,,,0,,
1669338,,"Garfield Ave & Washington Blvd (NB)","",34.00074,-118.132591,,,0,,,0,,
1669339,,"Garfield Ave & Flotilla St (NB)","",34.006023,-118.131276,,,0,,,0,,
1669340,,"Ferguson Dr & Garfield Ave (WB)","",34.008425,-118.131668,,,0,,,0,,
1669342,,"Ferguson Dr & Saybrook Ave (WB)","",34.008871,-118.136606,,,0,,,0,,
1669344,,"Ferguson Dr & Hendricks Ave (WB)","",34.009287,-118.141587,,,0,,,0,,
1669345,,"Ferguson Dr & Elton Ave (WB)","",34.009539,-118.144419,,,0,,,0,,
1669348,,"Olympic Blvd & Gerhart Ave","",34.014086,-118.147811,,,0,,,0,,
1671078,,"Bandini Blvd & Greenwood Ave","",33.979502,-118.128891,,,0,,,0,,
1671081,,"Garfield Ave & Slauson Ave","",33.982646,-118.141277,,,0,,,0,,
1671083,,"Garfield Ave & Telegraph Rd","",33.98818,-118.13677,,,0,,,0,,
1671084,,"Garfield Ave & Elm St","",33.991485,-118.134667,,,0,,,0,,
1671092,,"Washington Blvd & Hepworth Ave","",34.004452,-118.172131,,,0,,,0,,
1673225,,"Union Pacific Ave & Eastern Ave","",34.016593,-118.175088,,,0,,,0,,
1717431,,"Commerce Way & Harbor","",34.003089,-118.15409,,,0,,,0,,
4265203,,"Telegraph Rd & Citadel Dr (Citadel Outlets)","",34.004838,-118.153078,,,0,,,0,,
4265204,,"Washington & Ransom","",34.004126,-118.170922,,,0,,,0,,
7095512,,"Garfield & Ferguson (SB)","",34.008205,-118.13152,,,0,,,0,,
7095513,,"Garfield & Ferguson (NB)","",34.008511,-118.131313,,,0,,,0,,
7263701,,"E Olympic Blvd Southside Dr (EB)","",34.01349,-118.144462,,,0,,,0,,
7263712,,"Olympic Blvd & Gerhart ave (EB)","",34.014053,-118.147534,,,0,,,0,,
7263713,,"Olympic Blvd & Hendricks Ave (EB)","",34.012987,-118.141179,,,0,,,0,,
7263714,,"Olympic Blvd & Saybrook Ave (EB)","",34.012266,-118.136395,,,0,,,0,,
7263715,,"Olympic Blvd & Garfield (EB)","",34.011447,-118.131096,,,0,,,0,,
7263716,,"Garfield Ave & Slauson Ave (NB)","",33.982453,-118.141431,,,0,,,0,,
7263717,,"Garfield Ave & Telegraph Rd (NB)","",33.988032,-118.136893,,,0,,,0,,
7263718,,"Garfield Ave & Elm st (NB)","",33.991437,-118.134635,,,0,,,0,,
7263719,,"Garfield Ave & Yates Ave (NB)","",33.995051,-118.134605,,,0,,,0,,
7263720,,"Olympic Blvd & Garfield Ave (WB)","",34.011592,-118.131155,,,0,,,0,,
7263721,,"Olympic Blvd & Saybrooks (WB)","",34.012319,-118.136149,,,0,,,0,,
7263722,,"Olympic Blvd & Hendricks Ave (WB)","",34.013019,-118.140891,,,0,,,0,,
7263723,,"Olympic Blvd & Northside Dr (WB)","",34.013467,-118.143888,,,0,,,0,,
7267913,,"Eastern Ave & Bandini Blvd (SB)","",33.991626,-118.16125,,,0,,,0,,
7267914,,"Eastern Ave & Rickenbacker Rd (SB)","",33.988854,-118.161661,,,0,,,0,,
7267915,,"Eastern Ave & Slauson Ave (SB)","",33.985417,-118.162232,,,0,,,0,,
7267917,,"Eastern Ave & Randolph St (SB)","",33.979438,-118.163164,,,0,,,0,,
7267918,,"Eastern Ave & Gage Ave (SB)","",33.975208,-118.16384,,,0,,,0,,
