trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
100-1,1693,1,Southbound,"",0,341046,20439,
100-2,1693,1,Southbound,"",0,341046,20439,
100-3,1693,1,Southbound,"",0,341046,20439,
100-4,1693,1,Southbound,"",0,341046,20439,
100-5,1693,1,Southbound,"",0,341046,20439,
100-6,1693,1,Southbound,"",0,341046,20439,
100-7,1693,1,Southbound,"",0,341046,20439,
101-1,1693,1,Southbound,"",0,341046,20439,
101-2,1693,1,Southbound,"",0,341046,20439,
101-3,1693,1,Southbound,"",0,341046,20439,
101-4,1693,1,Southbound,"",0,341046,20439,
101-5,1693,1,Southbound,"",0,341046,20439,
101-6,1693,1,Southbound,"",0,341046,20439,
101-7,1693,1,Southbound,"",0,341046,20439,
200-1,1692,1,Northbound,"",0,341047,19853,
200-2,1692,1,Northbound,"",0,341047,19853,
200-3,1692,1,Northbound,"",0,341047,19853,
200-4,1692,1,Northbound,"",0,341047,19853,
200-5,1692,1,Northbound,"",0,341047,19853,
202-1,1692,1,Northbound,"",0,341048,19853,
202-2,1692,1,Northbound,"",0,341048,19853,
202-3,1692,1,Northbound,"",0,341048,19853,
202-4,1692,1,Northbound,"",0,341048,19853,
202-5,1692,1,Northbound,"",0,341048,19853,
203-1,1692,1,Northbound,"",0,341049,19853,
203-2,1692,1,Northbound,"",0,341049,19853,
203-3,1692,1,Northbound,"",0,341049,19853,
203-4,1692,1,Northbound,"",0,341049,19853,
203-5,1692,1,Northbound,"",0,341049,19853,
204-1,1692,1,Northbound,"",0,341047,19853,
204-2,1692,1,Northbound,"",0,341047,19853,
204-3,1692,1,Northbound,"",0,341047,19853,
204-4,1692,1,Northbound,"",0,341047,19853,
204-5,1692,1,Northbound,"",0,341047,19853,
205-1,1692,1,Northbound,"",0,341048,19853,
205-2,1692,1,Northbound,"",0,341048,19853,
205-3,1692,1,Northbound,"",0,341048,19853,
205-4,1692,1,Northbound,"",0,341048,19853,
205-5,1692,1,Northbound,"",0,341048,19853,
206-1,1692,1,Northbound,"",0,341049,19853,
206-2,1692,1,Northbound,"",0,341049,19853,
206-3,1692,1,Northbound,"",0,341049,19853,
206-4,1692,1,Northbound,"",0,341049,19853,
206-5,1692,1,Northbound,"",0,341049,19853,
300-1,1694,1,Northbound,"",0,341050,19797,
300-2,1694,1,Northbound,"",0,341050,19797,
300-3,1694,1,Northbound,"",0,341050,19797,
300-4,1694,1,Northbound,"",0,341050,19797,
300-5,1694,1,Northbound,"",0,341050,19797,
300-6,1694,1,Northbound,"",0,341050,19797,
300-7,1694,1,Northbound,"",0,341050,19797,
301-1,1694,1,Northbound,"",0,341050,19797,
301-2,1694,1,Northbound,"",0,341050,19797,
301-3,1694,1,Northbound,"",0,341050,19797,
301-4,1694,1,Northbound,"",0,341050,19797,
301-5,1694,1,Northbound,"",0,341050,19797,
301-6,1694,1,Northbound,"",0,341050,19797,
301-7,1694,1,Northbound,"",0,341050,19797,
400-1,1690,1,Southbound,"",0,341051,20764,
400-2,1690,1,Southbound,"",0,341051,20764,
400-3,1690,1,Southbound,"",0,341051,20764,
400-4,1690,1,Southbound,"",0,341051,20764,
400-5,1690,1,Southbound,"",0,341051,20764,
400-6,1690,1,Southbound,"",0,341051,20764,
400-7,1690,1,Southbound,"",0,341051,20764,
400-8,1690,1,Southbound,"",0,341051,20764,
402-1,1690,1,Southbound,"",0,341052,20764,
402-2,1690,1,Southbound,"",0,341052,20764,
402-3,1690,1,Southbound,"",0,341052,20764,
402-4,1690,1,Southbound,"",0,341052,20764,
402-5,1690,1,Southbound,"",0,341052,20764,
402-6,1690,1,Southbound,"",0,341052,20764,
402-7,1690,1,Southbound,"",0,341052,20764,
402-8,1690,1,Southbound,"",0,341052,20764,
403-1,1690,1,Southbound,"",0,341051,20764,
403-2,1690,1,Southbound,"",0,341051,20764,
403-3,1690,1,Southbound,"",0,341051,20764,
403-4,1690,1,Southbound,"",0,341051,20764,
403-5,1690,1,Southbound,"",0,341051,20764,
403-6,1690,1,Southbound,"",0,341051,20764,
403-7,1690,1,Southbound,"",0,341051,20764,
404-1,1690,1,Southbound,"",0,341052,20764,
404-2,1690,1,Southbound,"",0,341052,20764,
404-3,1690,1,Southbound,"",0,341052,20764,
404-4,1690,1,Southbound,"",0,341052,20764,
404-5,1690,1,Southbound,"",0,341052,20764,
404-6,1690,1,Southbound,"",0,341052,20764,
404-7,1690,1,Southbound,"",0,341052,20764,
500-1,1691,1,Commerce Connect,"",0,341053,19794,
500-2,1691,1,Commerce Connect,"",0,341053,19794,
500-3,1691,1,Commerce Connect,"",0,341053,19794,
502-1,1691,1,Commerce Connect,"",0,341053,19794,
502-2,1691,1,Commerce Connect,"",0,341053,19794,
502-3,1691,1,Commerce Connect,"",0,341053,19794,
600-1,1695,1,Citadel,"",0,341054,18345,
600-2,1695,1,Citadel,"",0,341054,18345,
600-3,1695,1,Citadel,"",0,341054,18345,
600-4,1695,1,Citadel,"",0,341054,18345,
602-1,1695,1,Citadel,"",0,341055,18345,
602-2,1695,1,Citadel,"",0,341055,18345,
602-3,1695,1,Citadel,"",0,341055,18345,
602-4,1695,1,Citadel,"",0,341055,18345,
603-1,1695,1,Citadel,"",0,341054,18345,
603-2,1695,1,Citadel,"",0,341054,18345,
603-3,1695,1,Citadel,"",0,341054,18345,
603-4,1695,1,Citadel,"",0,341054,18345,
603-5,1695,1,Citadel,"",0,341054,18345,
604-1,1695,1,Citadel,"",0,341055,18345,
604-2,1695,1,Citadel,"",0,341055,18345,
604-3,1695,1,Citadel,"",0,341055,18345,
604-4,1695,1,Citadel,"",0,341055,18345,
604-5,1695,1,Citadel,"",0,341055,18345,
