trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1,05:45:00,05:45:00,1921407,0,"",0,,0,1
1,05:46:00,05:46:00,1921408,1,"",0,,310.56407268359897,0
1,05:52:00,05:52:00,1921409,2,"",0,,2913.577364211616,0
1,05:53:00,05:53:00,1921410,3,"",0,,3306.9748178956393,0
1,05:53:00,05:53:00,2947356,4,"",0,,3489.3442980661384,0
1,05:56:00,05:56:00,1921412,5,"",0,,4265.688820091787,0
1,05:57:00,05:57:00,1921413,6,"",0,,4669.590756692098,0
1,05:57:00,05:57:00,1921414,7,"",0,,4888.232223430807,1
1,06:00:00,06:00:00,1921415,8,"",0,,5826.205025521251,0
1,06:02:00,06:02:00,1921416,9,"",0,,6546.386464912186,0
1,06:03:00,06:03:00,1921417,10,"",0,,6748.975438049582,0
1,06:03:00,06:03:00,1921418,11,"",0,,7138.288738165244,0
1,06:05:00,06:05:00,1921419,12,"",0,,7663.865085357207,0
1,06:06:00,06:06:00,1921420,13,"",0,,8007.648137366641,0
1,06:07:00,06:07:00,1921421,14,"",0,,8468.465303839019,0
1,06:08:00,06:08:00,1921422,15,"",0,,8798.114594659168,0
1,06:09:00,06:09:00,1921423,16,"",0,,9035.423544197165,0
1,06:10:00,06:10:00,1892663,17,"",0,,9250.97554967937,0
1,06:11:00,06:11:00,1892664,18,"",0,,9698.516449936613,0
1,06:12:00,06:12:00,2010400,19,"",0,,10198.398807708836,1
10,10:15:00,10:15:00,2010399,0,"",0,,0,1
10,10:15:00,10:15:00,1892633,1,"",0,,164.14075848915672,0
10,10:16:00,10:16:00,1892634,2,"",0,,619.9335265274751,0
10,10:17:00,10:17:00,4566663,3,"",0,,1044.0549128441353,0
10,10:18:00,10:18:00,4566664,4,"",0,,1476.3817775341731,0
10,10:19:00,10:19:00,1921768,5,"",0,,1985.0354754243913,0
10,10:19:00,10:19:00,1921769,6,"",0,,2249.719395522741,0
10,10:20:00,10:20:00,1921770,7,"",0,,2767.1484651545193,0
