stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1891640,,"Downtown Bloomington Transfer Center","",40.478678,-88.994186,,,0,,,0,,
1891768,,"Main St & Jefferson St","",40.480314,-88.993659,,,0,,,0,,
1891769,,"Main St & Market St","",40.482136,-88.99367799999999,,,0,,,0,,
1891770,,"East St & Douglas St","",40.482745,-88.99274000000003,,,0,,,0,,
1891771,,"Locust St & Mclean St","",40.48459,-88.988831,,,0,,,0,,
1891772,,"Locust St & Clinton St","",40.484662,-88.985004,,,0,,,0,,
1891773,,"Locust St & Linden St","",40.484759,-88.981651,,,0,,,0,,
1891774,,"Locust St & Colton Ave","",40.484846,-88.977914,,,0,,,0,,
1891775,,"Bloomington High School","",40.484903,-88.97460799999999,,,0,,,0,,
1891776,,"Towanda Ave & Towanda Service Rd - E","",40.48944,-88.968771,,,0,,,0,,
1891777,,"Towanda Ave & Fairway Dr","",40.493282,-88.96507700000001,,,0,,,0,,
1891778,,"Towanda Ave & Cherrywood Ln","",40.495644,-88.96276799999998,,,0,,,0,,
1891779,,"Towanda Ave & Jersey Ave - E","",40.499618,-88.958862,,,0,,,0,,
1891780,,"Towanda Ave & Kurt Drive - E","",40.501516,-88.957451,,,0,,,0,,
1891781,,"Target","",40.507188,-88.956954,,,0,,,0,,
1891795,,"Hobby Lobby Dr - W","",40.505372,-88.956713,,,0,,,0,,
1891796,,"Towanda Ave & Kurt Drive - W","",40.50225129502133,-88.95750840244673,,,0,,,0,,
1891797,,"Towanda Ave & Jersey Ave - W","",40.499459,-88.959158,,,0,,,0,,
1891798,,"Towanda Ave & Fleetwood Dr","",40.49615,-88.96234,,,0,,,0,,
1891799,,"Towanda Ave & Emerson St","",40.493563,-88.964905,,,0,,,0,,
1891800,,"Towanda Ave & Towanda Service Rd - W","",40.48979,-88.968734,,,0,,,0,,
1891801,,"Empire St & Stortz Dr","",40.488415,-88.971691,,,0,,,0,,
1891802,,"Empire St & Colton Ave","",40.488378,-88.977617,,,0,,,0,,
1891803,,"Empire St & Linden St","",40.488349,-88.98152,,,0,,,0,,
1891804,,"Empire St & Clinton St","",40.488287,-88.984721,,,0,,,0,,
1891805,,"Empire St & Park St","",40.488183,-88.990171,,,0,,,0,,
1891806,,"Empire St & Main St","",40.488189,-88.993854,,,0,,,0,,
1891807,,"Lee St & Chestnut St","",40.485646,-88.997794,,,0,,,0,,
1891808,,"Locust St & Phoenix Towers","",40.484475,-88.995687,,,0,,,0,,
1891809,,"Center St & Market St","",40.48246,-88.994767,,,0,,,0,,
1891810,,"Center St & Jefferson St","",40.48053,-88.994699,,,0,,,0,,
1892274,,"Washington St & McLean St - S","",40.479651,-88.988727,,,0,,,0,,
1892275,,"Washington St & Clinton St - S","",40.479716,-88.984827,,,0,,,0,,
1892276,,"Washington St & Mc Clun St","",40.479806,-88.980374,,,0,,,0,,
1892277,,"Washington St & State St","",40.479908,-88.975702,,,0,,,0,,
1892278,,"Washington St & Vale St - S","",40.480008,-88.967815,,,0,,,0,,
1892280,,"Washington St & Regency Dr - S","",40.480052,-88.959516,,,0,,,0,,
1892281,,"Washington St & Rust Rd - S","",40.480035,-88.957251,,,0,,,0,,
1892282,,"St. Joseph Medical Center - N","",40.481417,-88.955727,,,0,,,0,,
