trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1,2701,1,Eastbound,"",1,348403,6304,
10,2701,1,Westbound,"",0,348403,11407,
100,1815,1,Southbound,"",0,348400,11401,
101,1815,1,Northbound,"",1,348400,6552,
102,1849,1,Southbound,"",0,348400,4027,
103,1849,1,Northbound,"",1,348400,4026,
104,1815,1,Southbound,"",0,348400,11401,
105,1815,1,Northbound,"",1,348400,6552,
106,1849,1,Southbound,"",0,348400,4027,
107,1849,1,Northbound,"",1,348400,4026,
108,1815,1,Southbound,"",0,348400,11401,
109,1815,1,Northbound,"",1,348400,6552,
11,2701,1,Eastbound,"",1,348403,6304,
110,1849,1,Southbound,"",0,348400,4027,
111,1849,1,Northbound,"",1,348400,4026,
112,1815,1,Southbound,"",0,348400,11401,
113,1815,1,Northbound,"",1,348400,6552,
114,1849,1,Southbound,"",0,348400,4027,
115,1849,1,Northbound,"",1,348400,4026,
116,1815,1,Southbound,"",0,348400,11401,
117,1815,1,Northbound,"",1,348400,6552,
118,1849,1,Southbound,"",0,348400,4027,
119,1849,1,Northbound,"",1,348400,4026,
12,2701,1,Westbound,"",0,348403,11407,
120,1815,1,Southbound,"",0,348400,11401,
121,1815,1,Northbound,"",1,348400,6552,
122,1849,1,Southbound,"",0,348400,4027,
123,1849,1,Northbound,"",1,348400,4026,
124,1885,1,Southbound,"",0,348408,6159,
125,1885,1,Northbound,"",1,348408,6161,
126,1885,1,Southbound,"",0,348408,6159,
127,1885,1,Northbound,"",1,348408,6161,
128,1885,1,Southbound,"",0,348408,6159,
129,1885,1,Northbound,"",1,348408,6161,
13,2701,1,Eastbound,"",1,348403,6304,
130,1885,1,Southbound,"",0,348408,6159,
131,1885,1,Northbound,"",1,348408,6161,
132,1885,1,Southbound,"",0,348408,6159,
133,1885,1,Northbound,"",1,348408,6161,
134,1885,1,Southbound,"",0,348408,6159,
135,1885,1,Northbound,"",1,348408,6161,
136,1885,1,Southbound,"",0,348408,6159,
137,1885,1,Northbound,"",1,348408,6161,
138,1885,1,Southbound,"",0,348408,6159,
139,1885,1,Northbound,"",1,348408,6161,
14,2701,1,Westbound,"",0,348403,11407,
140,1885,1,Southbound,"",0,348408,6159,
141,1885,1,Northbound,"",1,348408,6161,
142,1885,1,Southbound,"",0,348408,6159,
143,1885,1,Northbound,"",1,348408,6161,
144,1885,1,Southbound,"",0,348408,6159,
145,1885,1,Northbound,"",1,348408,6161,
146,1885,1,Southbound,"",0,348408,6159,
147,1885,1,Northbound,"",1,348408,6161,
148,1885,1,Southbound,"",0,348408,6159,
149,1885,1,Northbound,"",1,348408,6161,
15,2701,1,Eastbound,"",1,348403,6304,
150,1885,1,Southbound,"",0,348408,6159,
151,1885,1,Northbound,"",1,348408,6161,
152,1885,1,Southbound,"",0,348408,6159,
153,1885,1,Northbound,"",1,348408,6161,
154,1885,1,Southbound,"",0,348408,6159,
155,1885,1,Northbound,"",1,348408,6161,
156,1885,1,Southbound,"",0,348408,6159,
157,1885,1,Northbound,"",1,348408,6161,
158,1885,1,Southbound,"",0,348408,6159,
159,1885,1,Northbound,"",1,348408,6161,
16,2701,1,Westbound,"",0,348403,11407,
160,1885,1,Southbound,"",0,348408,6159,
161,1885,1,Northbound,"",1,348408,6161,
162,1885,1,Southbound,"",0,348408,6159,
163,1885,1,Northbound,"",1,348408,6161,
164,1885,1,Southbound,"",0,348408,6159,
165,1885,1,Northbound,"",1,348408,6161,
166,1885,1,Southbound,"",0,348408,6159,
167,1885,1,Northbound,"",1,348408,6161,
168,1885,1,Southbound,"",0,348408,6159,
169,1885,1,Northbound,"",1,348408,6161,
17,2701,1,Eastbound,"",1,348403,6304,
170,1885,1,Southbound,"",0,348408,6159,
171,1885,1,Northbound,"",1,348408,6161,
172,1885,1,Southbound,"",0,348408,6159,
173,1885,1,Northbound,"",1,348408,6161,
174,1885,1,Southbound,"",0,348408,6159,
175,1885,1,Northbound,"",1,348408,6161,
176,1885,1,Southbound,"",0,348408,6159,
177,1885,1,Northbound,"",1,348408,6161,
178,1885,1,Southbound,"",0,348408,6159,
